,# Days with AQI ,# Days Good,# Days Moderate,# Days Unhealthy for Sensitive Groups,# Days Unhealthy,# Days Very Unhealthy,# days Hazerdous,AQI Max,AQI 90th %ile,AQI Median,# Days CO,# Days NO2,# Days 03,# Days PM2.5,# Days PM10,17
,360,259,100,1,0,0,0,144,56.5,43,0,0,87,273,0,0
,365,231,133,1,0,0,0,143,62,47,0,0,133,232,0,0
,365,241,124,0,0,0,0,99,57,45,0,0,108,257,0,0
,365,259,103,3,0,0,0,115,64,44,0,2,191,172,0,0
,356,355,1,0,0,0,0,54,31,16.5,0,0,0,0,356,0
,365,279,85,1,0,0,0,130,58,43,0,0,210,155,0,0
,365,176,189,0,0,0,0,95,61,51,0,0,70,295,0,0
,365,167,196,2,0,0,0,108,68,52,0,0,79,286,0,0
,365,283,81,1,0,0,0,127,56,41,0,0,163,202,0,0
,358,350,8,0,0,0,0,74,44,34,0,0,358,0,0,0
,360,345,14,1,0,0,0,108,45,35,0,0,360,0,0,0
,365,191,173,1,0,0,0,124,63,49,0,0,55,310,0,0
,365,144,216,5,0,0,0,114,71,52,0,0,91,271,3,0
,182,161,21,0,0,0,0,80,54,38,0,0,182,0,0,524
,182,167,15,0,0,0,0,74,50,38,0,0,179,0,3,0
,182,143,39,0,0,0,0,76,54,43,0,0,103,79,0,0
,182,155,27,0,0,0,0,94,52,41,0,0,95,87,0,0
,182,126,55,0,0,1,0,272,56,44,0,0,0,182,0,0
,183,85,98,0,0,0,0,97,66,51,1,0,59,122,1,0
,182,110,72,0,0,0,0,93,60,47,0,0,60,122,0,0
,182,118,63,1,0,0,0,105,58,46,0,0,91,91,0,0
,183,59,120,1,3,0,0,197,66,53,1,2,46,133,1,0
,182,125,57,0,0,0,0,87,58,45,0,0,62,120,0,0
,182,105,76,1,0,0,0,115,67,48,0,0,72,110,0,0
,182,75,106,1,0,0,0,101,61,52,0,0,44,138,0,0
,183,113,67,3,0,0,0,149,67,47,1,0,106,76,0,0
,178,164,13,1,0,0,0,112,47,21.5,0,0,0,0,178,0
,182,148,34,0,0,0,0,74,54,43,0,0,151,31,0,0
,180,93,87,0,0,0,0,72,60,49,0,0,38,142,0,0
,182,109,73,0,0,0,0,84,61,47,0,0,70,112,0,0
,182,157,25,0,0,0,0,71,53,41.5,0,0,135,47,0,0
,206,205,1,0,0,0,0,51,44,35,0,0,206,0,0,0
,181,151,30,0,0,0,0,77,58,41,0,0,181,0,0,0
,182,101,80,1,0,0,0,129,64,48,0,0,50,132,0,0
,183,65,114,4,0,0,0,143,74,53,1,0,68,113,1,0
